screen_id,screen_name,image_uuid_1,image_uuid_2,image_uuid_3,image_uuid_4
91b5d56d-7507-4122-a3c9-2f0c3c3ab541,"CCD CCD DelhiCantt",,,,
ebdc69a9-e046-4be7-87d8-7929293e379d,"CCD CCD Gokul Regency",,,,
a0523c0a-2729-4a79-9e5d-99207adb3d24,"CCD CUNNINGHAM ROAD OPP",,,,
98f05ec7-f369-49ed-bf3d-979200803c12,"CCD City Pride",,,,
61082339-d2d4-462e-8f58-7e788b143e53,"CCD Coconut Groove",,,,
7915d7dd-7dd1-4b08-a9ea-25a6bc9c7392,"CCD DILSUKH NAGAR",,,,
c7502af1-9f4e-4a1a-bde6-b2bec456be54,"CCD Dev Chaya Building Haji Ali",,,,
c7108cbb-1ac5-4144-866e-9468759e0943,"CCD Dr. Rajkumar Road",,,,
ca7dab77-5877-49a9-b1a4-60f69dc8aed9,"CCD GREEN PARK MAIN NEW DELHI",,,,
1e1fb3db-e7ef-4cff-b58c-07222930ae35,"CCD Gangenahalli",,,,
659b6f57-c51e-4595-8388-fde6b8b92cde,"CCD Gini Jony",,,,
cd897084-0ca4-4577-9cdb-67ce0a0caab8,"CCD Grotto Church",,,,
0f3417a5-a849-49c7-b567-13cc33a8fc1b,"CCD HARLUR ROAD",,,,
e2bec17d-9f2e-4778-ad98-7443c60554b1,"CCD HOT N SPICY",,,,
13b06094-cb4b-408a-ab6c-e782c987a80b,"CCD HRBR RING ROAD KALYANAGAR BENGALURU",,,,
f445d946-ec43-49c0-ad01-7b6485fbabbd,"CCD HSR LAYOUT 17th Cross Road (sec 4)",,,,
7d3fbf77-13a4-405f-a09c-13712f4c3d60,"CCD HSR Layout Sector 1",,,,
dfbbca9e-323d-47b4-9dab-e090096ae145,"CCD HSR SEC 1",,,,
29bca526-2194-46aa-910c-253e2ffc8b05,"CCD Hari Om Tower",,,,
5e946fa6-d231-4860-aa61-68c3ee424e25,"CCD Hotel lee Cardrey",,,,
86a4fe1f-7edf-46f6-84a0-75c8c83d3dc4,"CCD Hyderguda",,,,
a526fc0f-d986-44d5-99bf-83942fe480bb,"CCD INDIRANAGAR (100 FT RD)",,,,
d6c7769c-f037-45cd-a530-a384dd812712,"CCD J BLOCK RAJOURI GARDEN DELHI",,,,
f8cf08d3-a34b-4745-82dd-6d1aedccf827,"CCD JP NAGAR Phase 1",,,,
5057905c-3e69-43cf-b3a8-2a68001ca494,"CCD JP NAGAR-5TH PHASE-SARAKI",,,,
af0793c6-20c2-4784-9626-23f4af2175fc,"CCD Jayanagar T Block",,,,
12892cbd-93c2-40cb-8568-1d65d1dd9224,"CCD KAMLANAGAR BUILDING NO 26B1 & 27 A1 DEL",,,,
5b0883a3-bb76-474c-a69b-9864a59d27e4,"CCD KRISHNAI APARTMENT",,,,
42262f5d-495f-418c-bc1d-be6a39fee018,"CCD Kalyannagar Kammanahalli Main Rd",,,,
b0f11f62-7c58-4e26-b400-38fb10c9bd25,"CCD Kasturi Nagar",,,,
c062aa95-9a36-45aa-86a5-78c66fc7de6f,"CCD Lalwani Regency",,,,
8cc7fe17-e0ca-4d96-8216-7bd256a4a630,"CCD MALLESWARAM NO225 & 226 PAPA JOHNS BENG",,,,
14e2b44a-40c9-45e2-a4a9-5220576f4c49,"CCD Majestic Height",,,,
f919c6e3-50a3-49d6-a20c-c683c5121dac,"CCD Mango Suits",,,,
0b6ef558-6436-4636-856f-a73ae558822d,"CCD Mansarovar Garden",,,,
1d626723-9171-4087-af0b-78abde94d6e9,"CCD Miyapur",,,,
78376bed-5f44-4e92-bc75-6a640a791447,"CCD NANDI DURGA ROAD JAYAMAHAL EXTENSON BLR",,,,
8e9bb074-9931-455a-83d3-c8c09791fbd6,"CCD NATHAN PRIDUS KARTHIKNAGAR",,,,
b84c4e1e-ad5c-4035-a221-404b03ecbc50,"CCD NFC Lounge",,,,
70196dcb-e62b-4321-927f-ce6b0bc4e39c,"CCD Noor Café",,,,
44f50d5c-9b89-4d2e-b67c-4cc7b128444d,"CCD Old Rajender Nagar",,,,
02766743-626d-4426-8087-ac7c9c6186f8,"CCD Orchid Plaza",,,,
eab7dbcb-69a4-4ddc-9019-e8a9d247804a,"CCD PRANJEE MARINA",,,,
d7dcb8a0-ffce-4a11-acd8-73ccc54d8e12,"CCD Paschim Vihar East Delhi",,,,
eea84a25-f9e4-4f43-842a-2b47507bbca7,"CCD Peenya HPCL Petrol Bunk",,,,
8841fd7a-edb2-4b9e-ae4d-9f96f7bfe888,"CCD Persian Café",,,,
6dc04e85-e705-4ed6-a676-9292909453ec,"CCD Powai Lake",,,,
9090e14d-4b95-48f1-9508-b0ee8c56315b,"CCD Prashanth Vihar",,,,
fadad8f7-7003-4532-b9d0-32493ed1b4cb,"CCD Privelege Inn",,,,
726c0c47-947e-49c5-b7f6-9f6834e3f205,"CCD R R NAGAR",,,,
40d783ff-feca-4184-a576-2e92ef3f365d,"CCD R.T. NAGAR",,,,
4001bef5-66d8-4132-964c-611a9fcf1d26,"CCD Rajouri Garden",,,,
960c4637-6d14-4088-9204-c5a18e9a7bca,"CCD S R Nagar",,,,
d7a2835d-9891-4702-a9d6-bbe0d5bf3b79,"CCD SATELLITE GARDEN-FILMCITY",,,,
3db59079-9c38-405c-b7b9-0f4265326b2f,"CCD SHANTI NIKETAN",,,,
269750a6-3353-456a-a6e5-64e5906b6498,"CCD SHER-E-PUNJAB (Andheri E)",,,,
01ed070c-7308-4a3c-8a91-b88ebbc7fbea,"CCD SRF BANASHANKARI",,,,
288f83c7-b485-4f86-a999-a0bb77d0b29d,"CCD Sarath City Mall",,,,
53395d18-e7c9-49c1-b7e4-c082d5b185d7,"CCD Sarita Vihar",,,,
d7341955-15d0-4c1d-92ee-634e56764eea,"CCD Sea Green",,,,
699c7a98-38c7-4634-afdc-a37358659787,"CCD Smokin Joe",,,,
504b60c6-5166-4f31-9534-5fcc5a66ecd9,"CCD Star City Mall Mayurvihar",,,,
306d2e46-e09a-446b-a16d-064b70a66edf,"CCD TELECOM NAGAR",,,,
ea30847a-d988-4c0c-80ac-ee884455046a,"CCD The Square Jubilee Hills",,,,
6090c52b-98a6-42da-93a4-1fb7cdf7a2f1,"CCD Toli Chowki",,,,
b9b392bc-1b9e-4889-8188-196b65a0ba5f,"CCD Top N Town",,,,
41596f18-5eba-4570-8bb3-c43772f0ac65,"CCD Vasant Marvel",,,,
2e2f7b2b-6a72-4068-ab70-41eb8a4dc383,"CCD Vasant Vihar",,,,
